CD_UNID;NOME_UNID;CS_TT_MAQUINA;DESCR_MAQUINA;CD_MAQUINA;CD_SETORMANUT;DESCR_SETORMANUT;CD_PRIOMAQUTV;NRO_PATRIMONIO;CD_MODELO;CD_GRUPO;CD_TPCENTATIV;DESCR_GERENC
92;FRIG. AURORA CASTRO;4228;ROSCA TRANSPORTADORA ALIMENTAÇÃO MOEGA/BALANÇA - REDUTOR;99997635;FFG;SETOR DE FABRICA DE FARINHAS E GORDURAS;6;0;9999;18000;2330;OUTROS
92;FRIG. AURORA CASTRO;4228;ROSCA TRANSPORTADORA APOS ELEVADOR DE CANECAS 250X6000 (ROS1704000007);99985506;FFG;SETOR DE FABRICA DE FARINHAS E GORDURAS;6;;9999;37010;2330;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;ROSCA TRANSPORTADORA APOS ELEVADOR DE CANECAS 250X6000 THC-250 (ROS1704000008);99985507;FFG;SETOR DE FABRICA DE FARINHAS E GORDURAS;6;;9999;37010;2330;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;ROSCA TRANSPORTADORA HELICOIDAL 01 MOEGA;99986568;GRX;SETOR SUB PRODUTOS GRAXARIA   ;6;;9999;37010;2330;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;ROSCA TRANSPORTADORA HELICOIDAL 01 MOEGA (99986568) - MOTOR;99988902;GRX;SETOR SUB PRODUTOS GRAXARIA   ;6;;9999;19000;2330;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228;ROSCA TRANSPORTADORA HELICOIDAL 01 MOEGA (99986568) - REDUTOR;99988903;GRX;SETOR SUB PRODUTOS GRAXARIA   ;6;;9999;18000;2330;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228;ROSCA TRANSPORTADORA HELICOIDAL 02 MOEGA;99988904;GRX;SETOR SUB PRODUTOS GRAXARIA   ;6;;9999;37010;2330;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;ROSCA TRANSPORTADORA HELICOIDAL 02 MOEGA (99988904) - MOTOR;99988905;GRX;SETOR SUB PRODUTOS GRAXARIA   ;6;;9999;19000;2330;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228;ROSCA TRANSPORTADORA HELICOIDAL 02 MOEGA (99988904) - REDUTOR;99988906;GRX;SETOR SUB PRODUTOS GRAXARIA   ;6;;9999;18000;2330;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228;ROSCA TRANSPORTADORA HELICOIDAL 400X7300 POS SILO PESAGEM THC 400(ROS1704000002);99985497;FFG;SETOR DE FABRICA DE FARINHAS E GORDURAS;6;;9999;37010;2330;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;ROSCA TRANSPORTADORA HELICOIDAL 400X8500 POS MOEGA PULMAO THC 400(ROS1704000001);99985496;FFG;SETOR DE FABRICA DE FARINHAS E GORDURAS;6;;9999;37010;2330;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;ROSCA TRANSPORTADORA POS MOEGA ALIMENTACAO GRAXARIA;99986567;GRX;SETOR SUB PRODUTOS GRAXARIA   ;6;;9999;37010;2330;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;ROSCA TRANSPORTADORA POS MOEGA ALIMENTACAO GRAXARIA (99986567) - MOTOR;99988893;GRX;SETOR SUB PRODUTOS GRAXARIA   ;6;;9999;19000;2330;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228;ROSCA TRANSPORTADORA POS MOEGA ALIMENTACAO GRAXARIA (99986567) - REDUTOR;99988894;GRX;SETOR SUB PRODUTOS GRAXARIA   ;6;;9999;18000;2330;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228;ROSCA TRANSPORTADORA THT-250 DE FARINHA  PARA BIG BAG (ROS1704000010);99985512;FFG;SETOR DE FABRICA DE FARINHAS E GORDURAS;6;;9999;37010;2330;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;RÉGUA;99987697;CQL;SETOR CONTROLE DE QUALIDADE   ;1;0;2;9;1759;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;RÉGUA;99997137;EMB;SETOR EMBALAGEM               ;1;0;2;9;4138;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;RÉGUA;99987700;CQL;SETOR CONTROLE DE QUALIDADE   ;1;0;2;9;1759;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SALA DE BATERIAS;99986140;EXD;EXPEDICAO                     ;4;0;9999;24000;2348;OUTROS
92;FRIG. AURORA CASTRO;4228;SALA DE BATERIAS - PORTA;99988972;EXD;EXPEDICAO                     ;4;0;3;11017;2348;OUTROS
92;FRIG. AURORA CASTRO;4228;SALA DE BATERIAS - PORTA - QUADRO DE COMANDO;99988973;EXD;EXPEDICAO                     ;4;0;9999;46013;2348;OUTROS
92;FRIG. AURORA CASTRO;4228;SALA DE BATERIAS - PORTA - REDUTOR;99995073;EXD;EXPEDICAO                     ;4;0;9999;18000;2348;OUTROS
92;FRIG. AURORA CASTRO;4228;SALA DE BATERIAS - PORTA - REDUTOR - MOTOR;99995074;EXD;EXPEDICAO                     ;4;0;9999;19000;2348;OUTROS
92;FRIG. AURORA CASTRO;4228;SALA DE PREPARO BACON;99991228;STP;SETOR DE TEMPERADOS E PORCIONADOS;8;;9999;41002;4669;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SECADOR DE SANGUE DHT-SR40MS;3379;FFG;SETOR DE FABRICA DE FARINHAS E GORDURAS;8;253176;9999;37003;2330;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;SECADOR DE SANGUE DHT-SR40MS - REDUTOR;3393;FFG;SETOR DE FABRICA DE FARINHAS E GORDURAS;8;253176;9999;37003;2330;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228;SECADOR DE SANGUE DHT-SR40MS - REDUTOR - MOTOR;3402;FFG;SETOR DE FABRICA DE FARINHAS E GORDURAS;8;253176;9999;37003;2330;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228;SECADOR DE SANGUE DHT-SR40MS - SISTEMA ELÉTRICO;3406;FFG;SETOR DE FABRICA DE FARINHAS E GORDURAS;8;253176;9999;37003;2330;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228;SECADOR DE SANGUE DHT-SR40MS - TAMPA SAÍDA;3403;FFG;SETOR DE FABRICA DE FARINHAS E GORDURAS;8;253176;9999;37003;2330;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228;SECADOR DE SANGUE DHT-SR40MS - TAMPA SAÍDA - REDUTOR;3404;FFG;SETOR DE FABRICA DE FARINHAS E GORDURAS;8;253176;9999;37003;2330;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228;SECADOR DE SANGUE DHT-SR40MS - TAMPA SAÍDA - REDUTOR - MOTOR;3405;FFG;SETOR DE FABRICA DE FARINHAS E GORDURAS;8;253176;9999;37003;2330;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228;SELADORA A VACUO SAV 180 MONTEMIL;99986396;CUR;SETOR EMB CURADOS             ;6;258856;9999;33000;5525;MÁQUINAS PRINCIPAL
